Name,Continent,Team,Pos,Age,MP,Starts,Min,CrdY,CrdR,PrgC,PrgP,PrgG,G.A.PK_90
Matheus Cunha,South America,WOL,FWMF,24,32,29,2440,9,0,107,87,139,0.66
João Gomes,South America,WOL,MF,22,34,32,2649,11,0,28,101,44,0.1
Leon Chiwome,Europe,WOL,FW,17,3,2,174,0,0,1,2,7,0
Tommy Doyle,Europe,WOL,MF,21,26,11,1222,2,0,21,81,17,0
Craig Dawson,Europe,WOL,DF,33,25,25,2209,7,0,1,49,4,0.08
Max Kilman,Europe,WOL,DF,26,38,38,3420,7,0,22,117,5,0.05
Hugo Bueno,Europe,WOL,DFMF,20,22,7,741,1,0,22,8,40,0
Pablo Sarabia,Europe,WOL,MFFW,31,30,20,1745,5,0,41,109,137,0.46
Jean-Ricner Bellegarde,Europe,WOL,MFFW,25,22,10,958,0,1,30,39,49,0.28
Mario Lemina,Africa,WOL,MF,29,35,34,2968,12,1,32,76,49,0.15
Nathan Fraser,Europe,WOL,FW,18,7,1,186,1,0,1,2,21,0
Matt Doherty,Europe,WOL,DFMF,31,30,9,1150,2,0,12,31,64,0.08
Hwang Hee-chan,Asia,WOL,FWMF,27,29,25,2119,6,0,37,37,120,0.59
Boubacar Traoré,Africa,WOL,MF,21,24,7,819,4,0,9,29,15,0
Matheus Nunes,Europe,WOL,MF,24,2,2,179,2,1,7,8,9,0
Fábio Silva,Europe,WOL,FW,21,8,3,264,2,0,5,10,13,0
Pedro Neto,Europe,WOL,FWMF,23,20,18,1516,4,0,98,54,149,0.65
Toti Gomes,Europe,WOL,DF,24,35,31,2772,7,0,22,79,11,0.13
Nélson Semedo,Europe,WOL,DFMF,29,36,36,3084,10,1,103,138,150,0.03
Santiago Bueno,South America,WOL,DF,24,12,9,822,1,0,3,11,2,0
Tawanda Chirewa,Africa,WOL,MFFW,19,8,1,145,1,0,1,7,8,0
