Name,Continent,Team,Pos,Age,MP,Starts,Min,CrdY,CrdR,PrgC,PrgP,PrgG,G.A.PK_90
Willian,South America,FUL,FW,34,31,24,2053,1,0,92,153,181,0.18
Andreas Pereira,South America,FUL,MF,27,37,34,2613,6,0,56,138,125,0.34
Harrison Reed,Europe,FUL,MF,28,27,15,1325,6,0,10,56,40,0.14
Tosin Adarabioyo,Europe,FUL,DF,25,20,18,1617,2,0,10,62,5,0.11
Adama Traoré,Europe,FUL,FWMF,27,17,1,377,2,0,29,16,48,1.19
Issa Diop,Europe,FUL,DF,26,18,16,1424,4,1,11,66,1,0
Bobby Reid,North America,FUL,FW,30,33,17,1423,4,0,35,47,95,0.51
Raúl Jiménez,North America,FUL,FW,32,24,18,1395,3,1,11,24,87,0.45
Kenny Tete,Europe,FUL,DF,27,14,10,867,2,0,20,54,38,0.1
Alex Iwobi,Africa,FUL,FWMF,27,30,25,2192,2,0,109,147,175,0.29
Calvin Bassey,Africa,FUL,DF,23,29,25,2303,6,1,15,62,4,0.04
João Palhinha,Europe,FUL,MF,28,33,31,2699,13,0,8,97,14,0.17
Tom Cairney,Europe,FUL,MF,32,34,14,1488,3,0,35,145,72,0.3
Sa_a Luki_,Europe,FUL,MF,26,24,13,1122,3,0,12,43,27,0.08
Tim Ream,North America,FUL,DF,35,18,17,1503,4,1,11,65,3,0.06
Antonee Robinson,North America,FUL,DF,25,37,37,3265,6,0,99,129,194,0.17
Harry Wilson,Europe,FUL,FW,26,35,16,1620,6,0,41,60,130,0.56
Alexis Mac Allister,South America,LIV,MF,24,33,31,2599,7,1,44,209,48,0.31
Joël Matip,Africa,LIV,DF,31,10,9,781,2,0,8,34,1,0
Luis Díaz,South America,LIV,FW,26,37,32,2629,3,0,137,113,302,0.45
Mohamed Salah,Africa,LIV,FW,31,32,28,2534,2,0,98,147,341,0.82
Curtis Jones,Europe,LIV,MF,22,23,14,1167,3,1,31,74,88,0.15
Jarell Quansah,Europe,LIV,DF,20,17,13,1190,1,0,13,67,1,0.15
Harvey Elliott,Europe,LIV,MFFW,20,34,11,1352,2,0,44,128,122,0.6
Joe Gomez,Europe,LIV,DF,26,32,17,1786,5,0,44,100,105,0.05
Trent Alexander-Arnold,Europe,LIV,DF,24,28,25,2155,6,0,45,205,97,0.29
Ibrahima Konaté,Europe,LIV,DF,24,22,17,1574,5,1,24,118,3,0
Kostas Tsimikas,Europe,LIV,DF,27,13,8,679,0,0,24,31,73,0.4
Dominik Szoboszlai,Europe,LIV,MF,22,33,25,2104,1,0,75,152,160,0.21
Wataru Endo,Asia,LIV,MF,30,29,20,1722,10,0,10,101,21,0.05
Ryan Gravenberch,Europe,LIV,MF,21,26,12,1121,0,0,39,78,71,0.08
Cody Gakpo,Europe,LIV,FWMF,24,35,17,1649,1,0,43,83,130,0.71
Virgil van Dijk,Europe,LIV,DF,32,36,36,3177,3,1,32,200,7,0.11
Conor Bradley,Europe,LIV,DF,20,11,10,753,2,0,35,29,64,0.48
Diogo Jota,Europe,LIV,FW,26,21,14,1145,3,1,54,34,111,1.02
Andrew Robertson,Europe,LIV,DF,29,23,18,1693,2,0,63,140,130,0.27
Darwin Núñez,South America,LIV,FW,24,36,22,2047,9,0,58,54,206,0.84
Albert Sambi Lokonga,Europe,LUT,MF,23,17,16,1303,4,0,29,72,13,0.28
Issa Kaboré,Africa,LUT,DF,22,24,21,1729,7,0,60,54,85,0.1
Pelly Ruddock Mpanzu,Africa,LUT,MF,30,27,11,1101,1,0,10,34,15,0
Mads Juel Andersen,Europe,LUT,DF,25,8,4,400,1,0,0,7,1,0.23
Luke Berry,Europe,LUT,MFDF,31,17,2,323,1,0,1,8,7,0.84
Fred Onyedinma,Europe,LUT,DFMF,26,8,4,407,1,0,9,6,21,0
Cauley Woodrow,Europe,LUT,FWMF,28,24,2,427,2,0,7,6,22,0.42
Ryan John Giles,Europe,LUT,DFMF,23,11,5,503,0,0,9,17,30,0
Andros Townsend,Europe,LUT,MFFW,32,27,14,1210,1,0,47,35,71,0.3
Jordan Clark,Europe,LUT,MF,29,23,14,1304,4,0,21,51,39,0.14
Elijah Adebayo,Europe,LUT,FW,25,27,16,1419,1,0,16,23,110,0.63
Reece Burke,Europe,LUT,DF,26,22,20,1660,5,0,11,67,14,0.22
Teden Mengi,Europe,LUT,DF,21,30,28,2469,3,0,15,54,1,0.04
Ross Barkley,Europe,LUT,MF,29,32,30,2618,6,0,48,163,39,0.31
Carlton Morris,Europe,LUT,FWMF,27,38,32,2862,4,0,37,56,120,0.31
Alfie Doughty,Europe,LUT,DF,23,37,34,2925,5,0,94,106,164,0.31
Chiedozie Ogbene,Europe,LUT,MFDF,26,30,20,1995,1,0,127,53,150,0.23
Amari'i Bell,North America,LUT,DF,29,21,21,1720,0,0,32,76,10,0
Daiki Hashioka,Asia,LUT,DF,24,10,6,595,0,0,3,21,16,0
Tahith Chong,Europe,LUT,MFFW,23,33,20,1982,4,0,57,72,101,0.18
Gabriel Osho,Africa,LUT,DF,24,21,21,1846,3,0,10,37,4,0.1
Jacob Brown,Europe,LUT,MFFW,25,19,12,1019,4,0,25,19,53,0.18
Tom Lockyer,Europe,LUT,DF,28,14,14,1169,4,0,6,37,2,0.15
Marvelous Nakamba,Africa,LUT,MF,29,13,13,1130,5,0,1,36,5,0
Julián Álvarez,South America,MCI,MFFW,23,36,31,2647,2,0,64,103,180,0.58
Kevin De Bruyne,Europe,MCI,MF,32,18,15,1221,2,0,47,111,133,1.03
Jeremy Doku,Europe,MCI,FWMF,21,29,18,1595,3,0,218,57,295,0.62
Mateo Kova_i_,Europe,MCI,MF,29,30,16,1551,4,0,37,100,38,0.06
Jo_ko Gvardiol,Europe,MCI,DF,21,28,26,2328,3,0,63,136,115,0.19
Kalvin Phillips,Europe,MCI,MF,27,4,0,93,0,0,7,7,3,0
Rico Lewis,Europe,MCI,DFMF,18,16,8,809,1,0,21,33,46,0.22
Jack Grealish,Europe,MCI,FWMF,27,20,10,1009,6,0,87,50,146,0.36
John Stones,Europe,MCI,DFMF,29,16,12,1064,2,0,16,57,24,0.08
Kyle Walker,Europe,MCI,DF,33,32,30,2767,2,0,74,157,172,0.13
Phil Foden,Europe,MCI,FWMF,23,35,33,2857,2,0,93,168,269,0.85
Rodri,Europe,MCI,MF,27,34,34,2931,8,1,76,376,55,0.52
Nathan Aké,Europe,MCI,DF,28,29,24,2042,0,0,24,116,18,0.18
Oscar Bobb,Europe,MCI,FWMF,20,14,2,302,0,0,13,25,38,0.6
Erling Haaland,Europe,MCI,FW,23,31,29,2552,1,0,35,26,126,0.88
Matheus Nunes,Europe,MCI,MF,24,17,7,661,0,0,28,34,58,0.27
Rúben Dias,Europe,MCI,DF,26,30,28,2559,0,0,34,173,16,0
Bernardo Silva,Europe,MCI,MFFW,28,33,29,2578,8,0,140,177,260,0.52
Manuel Akanji,Europe,MCI,DFMF,28,30,28,2511,4,1,46,148,36,0.07
Lisandro Martínez,South America,MUN,DF,25,11,8,646,3,0,8,28,1,0.14
Alejandro Garnacho,South America,MUN,FW,19,36,30,2565,4,0,178,62,281,0.39
Antony,South America,MUN,FW,23,29,15,1324,5,0,53,64,149,0.14
Casemiro,South America,MUN,MFDF,31,25,24,1982,7,0,12,112,36,0.14
Amad Diallo,Africa,MUN,FWMF,21,9,3,390,1,0,11,10,31,0.46
Christian Eriksen,Europe,MUN,MF,31,22,12,1141,1,0,20,68,23,0.24
Rasmus Højlund,Europe,MUN,FW,20,30,25,2158,2,0,36,33,111,0.5
Mason Mount,Europe,MUN,MFFW,24,14,5,516,2,0,9,21,34,0.17
Luke Shaw,Europe,MUN,DF,28,12,12,959,6,0,10,45,30,0
Harry Maguire,Europe,MUN,DF,30,22,18,1653,4,0,20,73,2,0.22
Aaron Wan-Bissaka,Europe,MUN,DF,25,22,20,1780,4,0,30,77,54,0.1
Kobbie Mainoo,Europe,MUN,MF,18,24,24,1924,3,0,25,64,36,0.19
Marcus Rashford,Europe,MUN,FW,25,33,26,2271,2,0,95,65,184,0.28
Sergio Reguilón,Europe,MUN,DF,26,9,4,412,3,0,11,27,38,0
Willy Kambwala,Europe,MUN,DF,18,8,3,330,1,0,2,8,1,0
Anthony Martial,Europe,MUN,FW,27,13,5,448,0,0,6,12,36,0.2
Raphaël Varane,Europe,MUN,DF,30,22,16,1375,2,0,16,59,2,0.07
Sofyan Amrabat,Africa,MUN,MFDF,26,21,10,938,6,0,6,66,10,0
Jonny Evans,Europe,MUN,DF,35,23,15,1392,2,0,7,37,1,0.06
Bruno Fernandes,Europe,MUN,MFFW,28,35,35,3118,9,0,86,297,182,0.4
Diogo Dalot,Europe,MUN,DF,24,36,35,3174,6,1,52,124,111,0.14
Scott McTominay,Europe,MUN,MFFW,26,32,18,1901,2,0,29,64,47,0.38
Victor Lindelöf,Europe,MUN,DF,29,19,14,1328,2,0,17,40,17,0.14
Hannibal Mejbri,Africa,MUN,MFFW,20,5,1,133,1,0,2,6,10,0.68
Facundo Pellistri,South America,MUN,FWMF,21,9,1,172,0,0,6,6,31,0.52
Joelinton,South America,NEW,MFFW,26,20,15,1279,6,0,29,56,60,0.21
Bruno Guimarães,South America,NEW,MF,25,37,37,3263,9,0,65,283,73,0.41
Joe Willock,Europe,NEW,MF,23,9,5,419,0,0,16,17,26,0.21
Lewis Hall,Europe,NEW,DF,18,18,8,781,2,0,19,46,27,0.12
Harvey Barnes,Europe,NEW,FWMF,25,21,7,802,2,0,45,34,79,0.9
Callum Wilson,Europe,NEW,FW,31,20,9,991,3,0,11,9,77,0.73
Jamaal Lascelles,Europe,NEW,DF,29,16,13,1080,4,0,8,31,3,0.08
Jacob Murphy,Europe,NEW,FW,28,21,14,1189,1,0,33,52,113,0.76
Lewis Miley,Europe,NEW,MF,17,17,14,1202,1,0,14,53,54,0.3
Valentino Livramento,Europe,NEW,DF,20,26,12,1314,1,0,44,61,76,0.07
Kieran Trippier,Europe,NEW,DF,32,28,26,2236,5,0,34,157,128,0.44
Dan Burn,Europe,NEW,DF,31,33,32,2726,4,0,14,75,25,0.13
Sean Longstaff,Europe,NEW,MF,25,35,30,2747,7,0,24,145,116,0.26
Anthony Gordon,Europe,NEW,FW,22,35,34,2890,12,1,138,101,232,0.62
Sandro Tonali,Europe,NEW,MF,23,8,5,438,2,0,11,19,21,0.21
Sven Botman,Europe,NEW,DF,23,17,15,1377,2,0,0,35,5,0.26
Miguel Almirón,South America,NEW,FW,29,33,23,1937,2,0,78,78,162,0.19
Matt Ritchie,Europe,NEW,FWMF,33,13,0,128,1,0,5,8,13,0.7
Elliot Anderson,Europe,NEW,MFFW,20,21,10,1027,3,0,37,57,70,0.18
Fabian Schär,Europe,NEW,DF,31,36,35,3054,5,0,28,133,20,0.15
Emil Krafth,Europe,NEW,DF,28,17,8,913,2,0,12,29,33,0
Alexander Isak,Europe,NEW,FW,23,30,27,2255,1,0,68,71,129,0.72
Gonzalo Montiel,South America,NFO,DF,26,14,8,801,5,0,10,28,32,0.22
Nicolás Domínguez,South America,NFO,MFFW,25,26,19,1495,4,0,14,91,43,0.24
Divock Origi,Europe,NFO,FW,28,20,6,606,1,0,19,14,41,0.15
Orel Mangala,Europe,NFO,MF,25,20,19,1563,6,0,13,45,14,0.06
Felipe,South America,NFO,DF,34,7,4,375,4,0,1,6,0,0
Danilo,South America,NFO,MF,22,29,20,1792,4,0,22,83,28,0.2
Murillo,South America,NFO,DF,21,32,32,2789,5,0,22,89,7,0.06
Serge Aurier,Africa,NFO,DFMF,30,12,10,833,2,0,10,47,29,0.22
Ibrahim Sangaré,Africa,NFO,MF,25,17,13,1035,6,0,5,44,7,0
Willy Boly,Africa,NFO,DF,32,20,18,1438,3,1,4,32,3,0.19
Joe Worrall,Europe,NFO,DF,26,7,5,439,0,1,0,8,1,0
Harry Toffolo,Europe,NFO,DF,27,23,15,1459,3,0,10,42,34,0.25
Callum Hudson-Odoi,Europe,NFO,FWMF,22,29,20,1854,0,0,111,58,171,0.44
Ryan Yates,Europe,NFO,MF,25,35,21,1992,6,0,18,73,37,0.09
Morgan Gibbs-White,Europe,NFO,MFFW,23,37,35,3156,9,0,80,170,181,0.4
Andrew Omobamidele,Europe,NFO,DF,21,11,8,783,2,0,1,8,0,0
Taiwo Awoniyi,Africa,NFO,FW,25,20,12,1042,2,0,8,14,45,0.78
Ola Aina,Africa,NFO,DF,26,22,20,1692,3,0,53,68,38,0.11
Chris Wood,Oceania,NFO,FW,31,31,20,1812,0,0,16,30,76,0.75
Nuno Tavares,Europe,NFO,DF,23,8,5,457,2,0,14,24,12,0
Scott McKenna,Europe,NFO,DF,26,5,5,416,0,0,1,10,0,0
Cheikhou Kouyaté,Africa,NFO,MF,33,12,2,212,2,0,0,5,5,0
Moussa Niakhate,Africa,NFO,DF,27,21,15,1460,5,1,13,39,6,0.06
Anthony Elanga,Europe,NFO,FWMF,21,36,25,2433,1,0,98,49,196,0.52
Gio Reyna,North America,NFO,FWMF,20,9,2,235,0,0,3,12,14,0.38
Brennan Johnson,Europe,NFO,FWMF,22,3,3,237,0,0,8,1,14,0
